Lipid_name,Amine,Tail
Li_enzyme_cat_AA08_C10,Li_enzyme_cat_AA08,Li_enzyme_cat_C10
Li_enzyme_cat_AA08_C12,Li_enzyme_cat_AA08,Li_enzyme_cat_C12
Li_enzyme_cat_AA08_C14,Li_enzyme_cat_AA08,Li_enzyme_cat_C14
Li_enzyme_cat_AA08_C16,Li_enzyme_cat_AA08,Li_enzyme_cat_C16
Li_enzyme_cat_AA08_C18,Li_enzyme_cat_AA08,Li_enzyme_cat_C18
Li_enzyme_cat_AA08_Oleic,Li_enzyme_cat_AA08,Li_enzyme_cat_Oleic
Li_enzyme_cat_AA08_Linoleic,Li_enzyme_cat_AA08,Li_enzyme_cat_Linoleic
Li_enzyme_cat_AA09_C8,Li_enzyme_cat_AA09,Li_enzyme_cat_C8
Li_enzyme_cat_AA09_C10,Li_enzyme_cat_AA09,Li_enzyme_cat_C10
Li_enzyme_cat_AA09_C12,Li_enzyme_cat_AA09,Li_enzyme_cat_C12
Li_enzyme_cat_AA09_C14,Li_enzyme_cat_AA09,Li_enzyme_cat_C14
Li_enzyme_cat_AA09_C16,Li_enzyme_cat_AA09,Li_enzyme_cat_C16
Li_enzyme_cat_AA09_C18,Li_enzyme_cat_AA09,Li_enzyme_cat_C18
Li_enzyme_cat_AA09_Oleic,Li_enzyme_cat_AA09,Li_enzyme_cat_Oleic
Li_enzyme_cat_AA09_Linoleic,Li_enzyme_cat_AA09,Li_enzyme_cat_Linoleic
Li_enzyme_cat_AA10_C8,Li_enzyme_cat_AA10,Li_enzyme_cat_C8
Li_enzyme_cat_AA10_C10,Li_enzyme_cat_AA10,Li_enzyme_cat_C10
Li_enzyme_cat_AA10_C12,Li_enzyme_cat_AA10,Li_enzyme_cat_C12
Li_enzyme_cat_AA10_C14,Li_enzyme_cat_AA10,Li_enzyme_cat_C14
Li_enzyme_cat_AA10_C16,Li_enzyme_cat_AA10,Li_enzyme_cat_C16
Li_enzyme_cat_AA10_C18,Li_enzyme_cat_AA10,Li_enzyme_cat_C18
Li_enzyme_cat_AA10_Oleic,Li_enzyme_cat_AA10,Li_enzyme_cat_Oleic
Li_enzyme_cat_AA10_Linoleic,Li_enzyme_cat_AA10,Li_enzyme_cat_Linoleic
Li_enzyme_cat_AA11_C8,Li_enzyme_cat_AA11,Li_enzyme_cat_C8
Li_enzyme_cat_AA11_C10,Li_enzyme_cat_AA11,Li_enzyme_cat_C10
Li_enzyme_cat_AA11_C12,Li_enzyme_cat_AA11,Li_enzyme_cat_C12
Li_enzyme_cat_AA11_C14,Li_enzyme_cat_AA11,Li_enzyme_cat_C14
Li_enzyme_cat_AA11_C16,Li_enzyme_cat_AA11,Li_enzyme_cat_C16
Li_enzyme_cat_AA11_C18,Li_enzyme_cat_AA11,Li_enzyme_cat_C18
Li_enzyme_cat_AA11_Oleic,Li_enzyme_cat_AA11,Li_enzyme_cat_Oleic
Li_enzyme_cat_AA11_Linoleic,Li_enzyme_cat_AA11,Li_enzyme_cat_Linoleic
Li_enzyme_cat_AA12_C8,Li_enzyme_cat_AA12,Li_enzyme_cat_C8
Li_enzyme_cat_AA12_C10,Li_enzyme_cat_AA12,Li_enzyme_cat_C10
Li_enzyme_cat_AA12_C12,Li_enzyme_cat_AA12,Li_enzyme_cat_C12
Li_enzyme_cat_AA12_C14,Li_enzyme_cat_AA12,Li_enzyme_cat_C14
