Amine,Tail,Lipid_name,Num tails,MolWt,Value_name,Model_type,Target_or_delivered_gene,Delivery_target,Route_of_administration,Experiment_weight
Zhou_dendrimer_2A9,Zhou_dendrimer_SC14,Zhou_dendrimer_2A9-SC14,2,917.458,FFL silencing,HeLa,FFL,hela,in_vitro,1
Zhou_dendrimer_3A3,Zhou_dendrimer_SC14,Zhou_dendrimer_3A3-SC14,3,1403.233,FFL silencing,HeLa,FFL,hela,in_vitro,1
Zhou_dendrimer_3A5,Zhou_dendrimer_SC14,Zhou_dendrimer_3A5-SC14,3,1432.275,FFL silencing,HeLa,FFL,hela,in_vitro,1
Zhou_dendrimer_2A4,Zhou_dendrimer_SC1,Zhou_dendrimer_2A4-SC1,2,670.935,FFL silencing,HeLa,FFL,hela,in_vitro,1
Zhou_dendrimer_4A1,Zhou_dendrimer_SC1,Zhou_dendrimer_4A1-SC1,4,1297.858,FFL silencing,HeLa,FFL,hela,in_vitro,1
Zhou_dendrimer_4A3,Zhou_dendrimer_SC1,Zhou_dendrimer_4A3-SC1,4,1242.778,FFL silencing,HeLa,FFL,hela,in_vitro,1
Zhou_dendrimer_6A2,Zhou_dendrimer_SC1,Zhou_dendrimer_6A2-SC1,6,1834.611,FFL silencing,HeLa,FFL,hela,in_vitro,1
Zhou_dendrimer_6A3,Zhou_dendrimer_SC1,Zhou_dendrimer_6A3-SC1,6,1792.53,FFL silencing,HeLa,FFL,hela,in_vitro,1
Zhou_dendrimer_2H3,Zhou_dendrimer_SC1,Zhou_dendrimer_2H3-SC1,2,734.119,FFL silencing,HeLa,FFL,hela,in_vitro,1
Zhou_dendrimer_1A1,Zhou_dendrimer_SC2,Zhou_dendrimer_1A1-SC2,1,388.574,FFL silencing,HeLa,FFL,hela,in_vitro,1
Zhou_dendrimer_4A1,Zhou_dendrimer_SC2,Zhou_dendrimer_4A1-SC2,4,1353.966,FFL silencing,HeLa,FFL,hela,in_vitro,1
Zhou_dendrimer_6A2,Zhou_dendrimer_SC2,Zhou_dendrimer_6A2-SC2,6,1918.773,FFL silencing,HeLa,FFL,hela,in_vitro,1
Zhou_dendrimer_6A3,Zhou_dendrimer_SC2,Zhou_dendrimer_6A3-SC2,6,1876.692,FFL silencing,HeLa,FFL,hela,in_vitro,1
Zhou_dendrimer_6A3,Zhou_dendrimer_SC3,Zhou_dendrimer_6A3-SC3,6,1876.692,FFL silencing,HeLa,FFL,hela,in_vitro,1
Zhou_dendrimer_2H4,Zhou_dendrimer_SC3,Zhou_dendrimer_2H4-SC3,2,790.227,FFL silencing,HeLa,FFL,hela,in_vitro,1
Zhou_dendrimer_1A1,Zhou_dendrimer_SC4,Zhou_dendrimer_1A1-SC4,1,374.547,FFL silencing,HeLa,FFL,hela,in_vitro,1
Zhou_dendrimer_3A3,Zhou_dendrimer_SC4,Zhou_dendrimer_3A3-SC4,3,982.423,FFL silencing,HeLa,FFL,hela,in_vitro,1
Zhou_dendrimer_4A3,Zhou_dendrimer_SC4,Zhou_dendrimer_4A3-SC4,4,1242.778,FFL silencing,HeLa,FFL,hela,in_vitro,1
Zhou_dendrimer_5A3,Zhou_dendrimer_SC4,Zhou_dendrimer_5A3-SC4,5,1560.229,FFL silencing,HeLa,FFL,hela,in_vitro,1
Zhou_dendrimer_6A3,Zhou_dendrimer_SC4,Zhou_dendrimer_6A3-SC4,6,1792.53,FFL silencing,HeLa,FFL,hela,in_vitro,1
Zhou_dendrimer_2A3,Zhou_dendrimer_SC5,Zhou_dendrimer_2A3-SC5,2,705.037,FFL silencing,HeLa,FFL,hela,in_vitro,1
Zhou_dendrimer_3A3,Zhou_dendrimer_SC5,Zhou_dendrimer_3A3-SC5,3,1024.504,FFL silencing,HeLa,FFL,hela,in_vitro,1
Zhou_dendrimer_4A1,Zhou_dendrimer_SC5,Zhou_dendrimer_4A1-SC5,4,1353.966,FFL silencing,HeLa,FFL,hela,in_vitro,1
Zhou_dendrimer_5A1,Zhou_dendrimer_SC5,Zhou_dendrimer_5A1-SC5,5,1573.268,FFL silencing,HeLa,FFL,hela,in_vitro,1
Zhou_dendrimer_5A3,Zhou_dendrimer_SC5,Zhou_dendrimer_5A3-SC5,5,1630.364,FFL silencing,HeLa,FFL,hela,in_vitro,1
Zhou_dendrimer_5A4,Zhou_dendrimer_SC5,Zhou_dendrimer_5A4-SC5,5,1588.283,FFL silencing,HeLa,FFL,hela,in_vitro,1
Zhou_dendrimer_6A1,Zhou_dendrimer_SC5,Zhou_dendrimer_6A1-SC5,6,1919.761,FFL silencing,HeLa,FFL,hela,in_vitro,1
Zhou_dendrimer_6A3,Zhou_dendrimer_SC5,Zhou_dendrimer_6A3-SC5,6,1876.692,FFL silencing,HeLa,FFL,hela,in_vitro,1
Zhou_dendrimer_2H4,Zhou_dendrimer_SC5,Zhou_dendrimer_2H4-SC5,2,790.227,FFL silencing,HeLa,FFL,hela,in_vitro,1
Zhou_dendrimer_4A1,Zhou_dendrimer_SC6,Zhou_dendrimer_4A1-SC6,4,1410.074,FFL silencing,HeLa,FFL,hela,in_vitro,1
Zhou_dendrimer_5A4,Zhou_dendrimer_SC6,Zhou_dendrimer_5A4-SC6,5,1658.418,FFL silencing,HeLa,FFL,hela,in_vitro,1
Zhou_dendrimer_6A3,Zhou_dendrimer_SC6,Zhou_dendrimer_6A3-SC6,6,1960.854,FFL silencing,HeLa,FFL,hela,in_vitro,1
Zhou_dendrimer_1A1,Zhou_dendrimer_SC7,Zhou_dendrimer_1A1-SC7,1,416.628,FFL silencing,HeLa,FFL,hela,in_vitro,1
Zhou_dendrimer_4A4,Zhou_dendrimer_SC7,Zhou_dendrimer_4A4-SC7,4,1414.058,FFL silencing,HeLa,FFL,hela,in_vitro,1
Zhou_dendrimer_5A1,Zhou_dendrimer_SC7,Zhou_dendrimer_5A1-SC7,5,1713.538,FFL silencing,HeLa,FFL,hela,in_vitro,1
Zhou_dendrimer_5A2,Zhou_dendrimer_SC7,Zhou_dendrimer_5A2-SC7,5,1771.622,FFL silencing,HeLa,FFL,hela,in_vitro,1
Zhou_dendrimer_5A3,Zhou_dendrimer_SC7,Zhou_dendrimer_5A3-SC7,5,1770.634,FFL silencing,HeLa,FFL,hela,in_vitro,1
Zhou_dendrimer_5A4,Zhou_dendrimer_SC7,Zhou_dendrimer_5A4-SC7,5,1728.553,FFL silencing,HeLa,FFL,hela,in_vitro,1
Zhou_dendrimer_6A1,Zhou_dendrimer_SC7,Zhou_dendrimer_6A1-SC7,6,2088.085,FFL silencing,HeLa,FFL,hela,in_vitro,1
Zhou_dendrimer_6A2,Zhou_dendrimer_SC7,Zhou_dendrimer_6A2-SC7,6,2087.097,FFL silencing,HeLa,FFL,hela,in_vitro,1
Zhou_dendrimer_6A3,Zhou_dendrimer_SC7,Zhou_dendrimer_6A3-SC7,6,2045.016,FFL silencing,HeLa,FFL,hela,in_vitro,1
Zhou_dendrimer_1A3,Zhou_dendrimer_SC8,Zhou_dendrimer_1A3-SC8,1,460.681,FFL silencing,HeLa,FFL,hela,in_vitro,1
Zhou_dendrimer_2A1,Zhou_dendrimer_SC8,Zhou_dendrimer_2A1-SC8,2,789.199,FFL silencing,HeLa,FFL,hela,in_vitro,1
Zhou_dendrimer_2A2,Zhou_dendrimer_SC8,Zhou_dendrimer_2A2-SC8,2,818.241,FFL silencing,HeLa,FFL,hela,in_vitro,1
Zhou_dendrimer_5A1,Zhou_dendrimer_SC8,Zhou_dendrimer_5A1-SC8,5,1783.673,FFL silencing,HeLa,FFL,hela,in_vitro,1
Zhou_dendrimer_5A2,Zhou_dendrimer_SC8,Zhou_dendrimer_5A2-SC8,5,1841.757,FFL silencing,HeLa,FFL,hela,in_vitro,1
Zhou_dendrimer_5A3,Zhou_dendrimer_SC8,Zhou_dendrimer_5A3-SC8,5,1840.769,FFL silencing,HeLa,FFL,hela,in_vitro,1
Zhou_dendrimer_5A4,Zhou_dendrimer_SC8,Zhou_dendrimer_5A4-SC8,5,1798.688,FFL silencing,HeLa,FFL,hela,in_vitro,1
Zhou_dendrimer_6A1,Zhou_dendrimer_SC8,Zhou_dendrimer_6A1-SC8,6,2172.247,FFL silencing,HeLa,FFL,hela,in_vitro,1
Zhou_dendrimer_6A2,Zhou_dendrimer_SC8,Zhou_dendrimer_6A2-SC8,6,2171.259,FFL silencing,HeLa,FFL,hela,in_vitro,1
Zhou_dendrimer_6A3,Zhou_dendrimer_SC8,Zhou_dendrimer_6A3-SC8,6,2129.178,FFL silencing,HeLa,FFL,hela,in_vitro,1
Zhou_dendrimer_1H3,Zhou_dendrimer_SC8,Zhou_dendrimer_1H3-SC8,1,628.061,FFL silencing,HeLa,FFL,hela,in_vitro,1
Zhou_dendrimer_5A3,Zhou_dendrimer_SC9,Zhou_dendrimer_5A3-SC9,5,1910.904,FFL silencing,HeLa,FFL,hela,in_vitro,1
Zhou_dendrimer_5A4,Zhou_dendrimer_SC9,Zhou_dendrimer_5A4-SC9,5,1868.823,FFL silencing,HeLa,FFL,hela,in_vitro,1
Zhou_dendrimer_6A3,Zhou_dendrimer_SC9,Zhou_dendrimer_6A3-SC9,6,2213.34,FFL silencing,HeLa,FFL,hela,in_vitro,1
Zhou_dendrimer_4A3,Zhou_dendrimer_SC10,Zhou_dendrimer_4A3-SC10,4,1579.426,FFL silencing,HeLa,FFL,hela,in_vitro,1
Zhou_dendrimer_5A1,Zhou_dendrimer_SC10,Zhou_dendrimer_5A1-SC10,5,1923.943,FFL silencing,HeLa,FFL,hela,in_vitro,1
Zhou_dendrimer_5A4,Zhou_dendrimer_SC10,Zhou_dendrimer_5A4-SC10,5,1938.958,FFL silencing,HeLa,FFL,hela,in_vitro,1
Zhou_dendrimer_6A1,Zhou_dendrimer_SC10,Zhou_dendrimer_6A1-SC10,6,2340.571,FFL silencing,HeLa,FFL,hela,in_vitro,1
Zhou_dendrimer_6A2,Zhou_dendrimer_SC10,Zhou_dendrimer_6A2-SC10,6,2339.583,FFL silencing,HeLa,FFL,hela,in_vitro,1
Zhou_dendrimer_6A3,Zhou_dendrimer_SC10,Zhou_dendrimer_6A3-SC10,6,2297.502,FFL silencing,HeLa,FFL,hela,in_vitro,1
Zhou_dendrimer_4A4,Zhou_dendrimer_SC11,Zhou_dendrimer_4A4-SC11,4,1638.49,FFL silencing,HeLa,FFL,hela,in_vitro,1
