Amine,Tail,Lipid_name,Num tails,MolWt
Miller_ZAL_ZA4,Miller_ZAL_Ac12,Miller_ZAL_ZA4-Ac12,3,1102.704
Miller_ZAL_ZA5,Miller_ZAL_Ac12,Miller_ZAL_ZA5-Ac12,3,1130.758
Miller_ZAL_ZA6,Miller_ZAL_Ac12,Miller_ZAL_ZA6-Ac12,3,1185.838
Miller_ZAL_ZA1,Miller_ZAL_Ac14,Miller_ZAL_ZA1-Ac14,2,989.548
Miller_ZAL_ZA2,Miller_ZAL_Ac14,Miller_ZAL_ZA2-Ac14,2,1073.71
Miller_ZAL_ZA3,Miller_ZAL_Ac14,Miller_ZAL_ZA3-Ac14,5,1752.79
Miller_ZAL_ZA4,Miller_ZAL_Ac14,Miller_ZAL_ZA4-Ac14,3,1186.866
Miller_ZAL_ZA5,Miller_ZAL_Ac14,Miller_ZAL_ZA5-Ac14,3,1214.92
Miller_ZAL_ZA6,Miller_ZAL_Ac14,Miller_ZAL_ZA6-Ac14,3,1270
Miller_ZAL_ZA1,Miller_ZAL_Ac16,Miller_ZAL_ZA1-Ac16,2,1045.656
Miller_ZAL_ZA2,Miller_ZAL_Ac16,Miller_ZAL_ZA2-Ac16,2,1129.818
Miller_ZAL_ZA3,Miller_ZAL_Ac16,Miller_ZAL_ZA3-Ac16,5,1893.06
Miller_ZAL_ZA4,Miller_ZAL_Ac16,Miller_ZAL_ZA4-Ac16,3,1271.028
Miller_ZAL_ZA5,Miller_ZAL_Ac16,Miller_ZAL_ZA5-Ac16,3,1299.082
Miller_ZAL_ZA6,Miller_ZAL_Ac16,Miller_ZAL_ZA6-Ac16,3,1354.162
Miller_ZAL_ZA1,Miller_ZAL_Ac18,Miller_ZAL_ZA1-Ac18,2,1101.764
Miller_ZAL_ZA2,Miller_ZAL_Ac18,Miller_ZAL_ZA2-Ac18,2,1185.926
Miller_ZAL_ZA3,Miller_ZAL_Ac18,Miller_ZAL_ZA3-Ac18,5,2033.33
Miller_ZAL_ZA4,Miller_ZAL_Ac18,Miller_ZAL_ZA4-Ac18,3,1355.19
Miller_ZAL_ZA5,Miller_ZAL_Ac18,Miller_ZAL_ZA5-Ac18,3,1383.244
Miller_ZAL_ZA6,Miller_ZAL_Ac18,Miller_ZAL_ZA6-Ac18,3,1438.324
