Amine_number,Full_SMILES,Amine_SMILES,Tail_length,Num_tails,Amine,Tail,Delivery_target,Route_of_administration,Purity,Target_or_delivered_gene,Experiment_weight,Value_name
142,CCCCCCCCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCCCCCCCC)[C@H]1CC[C@H](N(CCC(=O)OCCCCCCCCCCCCCC)CCC(=O)OCCCCCCCCCCCCCC)CC1,N[C@H]1CC[C@H](N)CC1,14,4,KW_A142,C14,hela,in_vitro,Crude,FFL,1,FFL silencing
117,CCCCCCCCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCCCCCCCC)[C@H]1CCCC[C@H]1N(CCC(=O)OCCCCCCCCCCCCCC)CCC(=O)OCCCCCCCCCCCCCC,N[C@H]1CCCC[C@H]1N,14,4,KW_A117,C14,hela,in_vitro,Crude,FFL,1,FFL silencing
233,CCCCCCCCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCCCCCCCC)C(=O)C1CCCN1C,CN1CCCC1C(N)=O,14,2,KW_A233,C14,hela,in_vitro,Crude,FFL,1,FFL silencing
178,CCCCCCCCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCCCCCCCC)C(C)(C)C,CC(C)(C)N,14,2,KW_A178,C14,hela,in_vitro,Crude,FFL,1,FFL silencing
180,CCCCCCCCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCCCCCCCC)C(C)(C)CC,CCC(C)(C)N,14,2,KW_A180,C14,hela,in_vitro,Crude,FFL,1,FFL silencing
187,CCCCCCCCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCCCCCCCC)C(C)(C)CC(C)(C)C,CC(C)(C)CC(C)(C)N,14,2,KW_A187,C14,hela,in_vitro,Crude,FFL,1,FFL silencing
26,CCCCCCCCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCCCCCCCC)C(C)(CO)CO,CC(N)(CO)CO,14,2,KW_A26,C14,hela,in_vitro,Crude,FFL,1,FFL silencing
177,CCCCCCCCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCCCCCCCC)C(C)C,CC(C)N,14,2,KW_A177,C14,hela,in_vitro,Crude,FFL,1,FFL silencing
183,CCCCCCCCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCCCCCCCC)C(C)C(C)C,CC(C)C(C)N,14,2,KW_A183,C14,hela,in_vitro,Crude,FFL,1,FFL silencing
327,CCCCCCCCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCCCCCCCC)C(C)c1ccc(C)cc1,Cc1ccc(C(C)N)cc1,14,2,KW_A327,C14,hela,in_vitro,Crude,FFL,1,FFL silencing
182,CCCCCCCCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCCCCCCCC)C(C)CC,CCC(C)N,14,2,KW_A182,C14,hela,in_vitro,Crude,FFL,1,FFL silencing
184,CCCCCCCCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCCCCCCCC)C(C)CCC,CCCC(C)N,14,2,KW_A184,C14,hela,in_vitro,Crude,FFL,1,FFL silencing
190,CCCCCCCCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCCCCCCCC)C(C)CO,CC(N)CO,14,2,KW_A190,C14,hela,in_vitro,Crude,FFL,1,FFL silencing
394,CCCCCCCCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCCCCCCCC)C(c1ccccc1)(c1ccccc1)c1ccccc1,NC(c1ccccc1)(c1ccccc1)c1ccccc1,14,2,KW_A394,C14,hela,in_vitro,Crude,FFL,1,FFL silencing
384,CCCCCCCCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCCCCCCCC)C(c1ccccc1)c1ccccc1,NC(c1ccccc1)c1ccccc1,14,2,KW_A384,C14,hela,in_vitro,Crude,FFL,1,FFL silencing
179,CCCCCCCCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCCCCCCCC)C(CC)CC,CCC(N)CC,14,2,KW_A179,C14,hela,in_vitro,Crude,FFL,1,FFL silencing
197,CCCCCCCCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCCCCCCCC)C(CO)(CO)CO,NC(CO)(CO)CO,14,2,KW_A197,C14,hela,in_vitro,Crude,FFL,1,FFL silencing
194,CCCCCCCCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCCCCCCCC)C(CO)C(C)(C)C,CC(C)(C)C(N)CO,14,2,KW_A194,C14,hela,in_vitro,Crude,FFL,1,FFL silencing
21,CCCCCCCCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCCCCCCCC)C[C@@H](C)O,C[C@@H](O)CN,14,2,KW_A21,C14,hela,in_vitro,Crude,FFL,1,FFL silencing
