Lipid_name,Amine,Ketone,Isocyanide,Is_cyclic,Model_type,Delivery_target
LM_3CR_A1Iso2C11,LM_3CR_A1,LM_3CR_C11,LM_3CR_Iso2,No,HeLa,hela
LM_3CR_A1Iso3C11,LM_3CR_A1,LM_3CR_C11,LM_3CR_Iso3,No,HeLa,hela
LM_3CR_A1Iso4C11,LM_3CR_A1,LM_3CR_C11,LM_3CR_Iso4,Yes,HeLa,hela
LM_3CR_A1Iso5C11,LM_3CR_A1,LM_3CR_C11,LM_3CR_Iso5,Yes,HeLa,hela
LM_3CR_A1Iso6C11,LM_3CR_A1,LM_3CR_C11,LM_3CR_Iso6,Yes,HeLa,hela
LM_3CR_A1Iso7C11,LM_3CR_A1,LM_3CR_C11,LM_3CR_Iso7,Yes,HeLa,hela
LM_3CR_A1Iso8C11,LM_3CR_A1,LM_3CR_C11,LM_3CR_Iso8,Yes,HeLa,hela
LM_3CR_A1Iso9C11,LM_3CR_A1,LM_3CR_C11,LM_3CR_Iso9,No,HeLa,hela
LM_3CR_A1Iso10C11,LM_3CR_A1,LM_3CR_C11,LM_3CR_Iso10,No,HeLa,hela
LM_3CR_A1Iso1C10,LM_3CR_A1,LM_3CR_C10,LM_3CR_Iso1,No,HeLa,hela
LM_3CR_A1Iso2C10,LM_3CR_A1,LM_3CR_C10,LM_3CR_Iso2,No,HeLa,hela
LM_3CR_A1Iso3C10,LM_3CR_A1,LM_3CR_C10,LM_3CR_Iso3,No,HeLa,hela
LM_3CR_A1Iso4C10,LM_3CR_A1,LM_3CR_C10,LM_3CR_Iso4,Yes,HeLa,hela
LM_3CR_A1Iso5C10,LM_3CR_A1,LM_3CR_C10,LM_3CR_Iso5,Yes,HeLa,hela
LM_3CR_A1Iso6C10,LM_3CR_A1,LM_3CR_C10,LM_3CR_Iso6,Yes,HeLa,hela
LM_3CR_A1Iso7C10,LM_3CR_A1,LM_3CR_C10,LM_3CR_Iso7,Yes,HeLa,hela
LM_3CR_A1Iso8C10,LM_3CR_A1,LM_3CR_C10,LM_3CR_Iso8,Yes,HeLa,hela
LM_3CR_A1Iso9C10,LM_3CR_A1,LM_3CR_C10,LM_3CR_Iso9,No,HeLa,hela
LM_3CR_A1Iso10C10,LM_3CR_A1,LM_3CR_C10,LM_3CR_Iso10,No,HeLa,hela
LM_3CR_A1Iso1C9,LM_3CR_A1,LM_3CR_C9,LM_3CR_Iso1,No,HeLa,hela
LM_3CR_A1Iso2C9,LM_3CR_A1,LM_3CR_C9,LM_3CR_Iso2,No,HeLa,hela
LM_3CR_A1Iso3C9,LM_3CR_A1,LM_3CR_C9,LM_3CR_Iso3,No,HeLa,hela
LM_3CR_A1Iso4C9,LM_3CR_A1,LM_3CR_C9,LM_3CR_Iso4,Yes,HeLa,hela
LM_3CR_A1Iso5C9,LM_3CR_A1,LM_3CR_C9,LM_3CR_Iso5,Yes,HeLa,hela
LM_3CR_A1Iso6C9,LM_3CR_A1,LM_3CR_C9,LM_3CR_Iso6,Yes,HeLa,hela
LM_3CR_A1Iso7C9,LM_3CR_A1,LM_3CR_C9,LM_3CR_Iso7,Yes,HeLa,hela
LM_3CR_A1Iso8C9,LM_3CR_A1,LM_3CR_C9,LM_3CR_Iso8,Yes,HeLa,hela
LM_3CR_A1Iso9C9,LM_3CR_A1,LM_3CR_C9,LM_3CR_Iso9,No,HeLa,hela
LM_3CR_A1Iso10C9,LM_3CR_A1,LM_3CR_C9,LM_3CR_Iso10,No,HeLa,hela
LM_3CR_A1Iso1C8,LM_3CR_A1,LM_3CR_C8,LM_3CR_Iso1,No,HeLa,hela
LM_3CR_A1Iso2C8,LM_3CR_A1,LM_3CR_C8,LM_3CR_Iso2,No,HeLa,hela
LM_3CR_A1Iso3C8,LM_3CR_A1,LM_3CR_C8,LM_3CR_Iso3,No,HeLa,hela
LM_3CR_A1Iso4C8,LM_3CR_A1,LM_3CR_C8,LM_3CR_Iso4,Yes,HeLa,hela
LM_3CR_A1Iso5C8,LM_3CR_A1,LM_3CR_C8,LM_3CR_Iso5,Yes,HeLa,hela
LM_3CR_A1Iso6C8,LM_3CR_A1,LM_3CR_C8,LM_3CR_Iso6,Yes,HeLa,hela
LM_3CR_A1Iso7C8,LM_3CR_A1,LM_3CR_C8,LM_3CR_Iso7,Yes,HeLa,hela
LM_3CR_A1Iso8C8,LM_3CR_A1,LM_3CR_C8,LM_3CR_Iso8,Yes,HeLa,hela
LM_3CR_A1Iso9C8,LM_3CR_A1,LM_3CR_C8,LM_3CR_Iso9,No,HeLa,hela
LM_3CR_A1Iso10C8,LM_3CR_A1,LM_3CR_C8,LM_3CR_Iso10,No,HeLa,hela
LM_3CR_A1Iso1C7,LM_3CR_A1,LM_3CR_C7,LM_3CR_Iso1,No,HeLa,hela
LM_3CR_A1Iso2C7,LM_3CR_A1,LM_3CR_C7,LM_3CR_Iso2,No,HeLa,hela
LM_3CR_A1Iso3C7,LM_3CR_A1,LM_3CR_C7,LM_3CR_Iso3,No,HeLa,hela
LM_3CR_A1Iso4C7,LM_3CR_A1,LM_3CR_C7,LM_3CR_Iso4,Yes,HeLa,hela
LM_3CR_A1Iso5C7,LM_3CR_A1,LM_3CR_C7,LM_3CR_Iso5,Yes,HeLa,hela
LM_3CR_A1Iso6C7,LM_3CR_A1,LM_3CR_C7,LM_3CR_Iso6,Yes,HeLa,hela
LM_3CR_A1Iso7C7,LM_3CR_A1,LM_3CR_C7,LM_3CR_Iso7,Yes,HeLa,hela
LM_3CR_A1Iso8C7,LM_3CR_A1,LM_3CR_C7,LM_3CR_Iso8,Yes,HeLa,hela
LM_3CR_A1Iso9C7,LM_3CR_A1,LM_3CR_C7,LM_3CR_Iso9,No,HeLa,hela
LM_3CR_A1Iso10C7,LM_3CR_A1,LM_3CR_C7,LM_3CR_Iso10,No,HeLa,hela
LM_3CR_A1Iso1CC7,LM_3CR_A1,LM_3CR_CC7,LM_3CR_Iso1,No,HeLa,hela
