Lipid_name,Delivery_target,Comment,Total_radiance,Isocyanide,Amine,Aldehyde,Carboxylic_acid
A21I4R21C18-1 ,liver,estimated from Fig 4C,7240,He_4CR_I4,He_4CR_R21,He_4CR_A21,He_4CR_C18-1
A21I4R21C18-2 ,liver,estimated from Fig 4C,1190,He_4CR_I4,He_4CR_R21,He_4CR_A21,He_4CR_C18-2
A23I4R21C18 ,liver,estimated from Fig 4C,5180,He_4CR_I4,He_4CR_R21,He_4CR_A23,He_4CR_C18
A23I4R21C18-1 ,liver,estimated from Fig 4C,81400,He_4CR_I4,He_4CR_R21,He_4CR_A23,He_4CR_C18-1
A23I4R21C18-2 ,liver,estimated from Fig 4C,43500,He_4CR_I4,He_4CR_R21,He_4CR_A23,He_4CR_C18-2
A1I4R22C18 ,liver,estimated from Fig 4C,83600,He_4CR_I4,He_4CR_R22,He_4CR_A1,He_4CR_C18
A1I4R22C18-1 ,liver,estimated from Fig 4C,200000,He_4CR_I4,He_4CR_R22,He_4CR_A1,He_4CR_C18-1
A1I4R22C18-2 ,liver,estimated from Fig 4C,200000,He_4CR_I4,He_4CR_R22,He_4CR_A1,He_4CR_C18-2
A4I4R22C18 ,liver,estimated from Fig 4C,200000,He_4CR_I4,He_4CR_R22,He_4CR_A4,He_4CR_C18
A4I4R22C18-1 ,liver,estimated from Fig 4C,200000,He_4CR_I4,He_4CR_R22,He_4CR_A4,He_4CR_C18-1
A4I4R22C18-2 ,liver,estimated from Fig 4C,188000,He_4CR_I4,He_4CR_R22,He_4CR_A4,He_4CR_C18-2
A21I4R22C18 ,liver,estimated from Fig 4C,129000,He_4CR_I4,He_4CR_R22,He_4CR_A21,He_4CR_C18
A21I4R22C18-1 ,liver,estimated from Fig 4C,15600,He_4CR_I4,He_4CR_R22,He_4CR_A21,He_4CR_C18-1
A21I4R22C18-2 ,liver,estimated from Fig 4C,1310,He_4CR_I4,He_4CR_R22,He_4CR_A21,He_4CR_C18-2
A23I4R22C18 ,liver,estimated from Fig 4C,200000,He_4CR_I4,He_4CR_R22,He_4CR_A23,He_4CR_C18
A23I4R22C18-1 ,liver,estimated from Fig 4C,200000,He_4CR_I4,He_4CR_R22,He_4CR_A23,He_4CR_C18-1
A23I4R22C18-2 ,liver,estimated from Fig 4C,300000,He_4CR_I4,He_4CR_R22,He_4CR_A23,He_4CR_C18-2
A1I4R23C18 ,liver,estimated from Fig 4C,121000,He_4CR_I4,He_4CR_R23,He_4CR_A1,He_4CR_C18
A1I4R23C18-1 ,liver,estimated from Fig 4C,200000,He_4CR_I4,He_4CR_R23,He_4CR_A1,He_4CR_C18-1
A1I4R23C18-2 ,liver,estimated from Fig 4C,200000,He_4CR_I4,He_4CR_R23,He_4CR_A1,He_4CR_C18-2
A4I4R23C18 ,liver,estimated from Fig 4C,200000,He_4CR_I4,He_4CR_R23,He_4CR_A4,He_4CR_C18
A4I4R23C18-1 ,liver,estimated from Fig 4C,69900,He_4CR_I4,He_4CR_R23,He_4CR_A4,He_4CR_C18-1
A4I4R23C18-2 ,liver,estimated from Fig 4C,200000,He_4CR_I4,He_4CR_R23,He_4CR_A4,He_4CR_C18-2
A21I4R23C18 ,liver,estimated from Fig 4C,27400,He_4CR_I4,He_4CR_R23,He_4CR_A21,He_4CR_C18
A21I4R23C18-1 ,liver,estimated from Fig 4C,25700,He_4CR_I4,He_4CR_R23,He_4CR_A21,He_4CR_C18-1
A21I4R23C18-2 ,liver,estimated from Fig 4C,52800,He_4CR_I4,He_4CR_R23,He_4CR_A21,He_4CR_C18-2
