Lipid_name,Delivery_target,Comment,Total_radiance,Isocyanide,Amine,Aldehyde,Carboxylic_acid
A23I4R23C18-2 ,spleen,,748000,He_4CR_I4,He_4CR_R23,He_4CR_A23,He_4CR_C18-2
A1I5R22C8,spleen,,1360000,He_4CR_I5,He_4CR_R22,He_4CR_A1,He_4CR_C8
A1I5R22C10,spleen,,2220000,He_4CR_I5,He_4CR_R22,He_4CR_A1,He_4CR_C10
A1I5R22C12,spleen,,26100000,He_4CR_I5,He_4CR_R22,He_4CR_A1,He_4CR_C12
A1I5R22C14,spleen,,11100000,He_4CR_I5,He_4CR_R22,He_4CR_A1,He_4CR_C14
A1I5R22C16,spleen,,3450000,He_4CR_I5,He_4CR_R22,He_4CR_A1,He_4CR_C16
A1I5R22C18,spleen,,989000,He_4CR_I5,He_4CR_R22,He_4CR_A1,He_4CR_C18
A1I5R22C18-2,spleen,,5490000,He_4CR_I5,He_4CR_R22,He_4CR_A1,He_4CR_C18-2
A1I5R22C11-S,spleen,,1020000,He_4CR_I5,He_4CR_R22,He_4CR_A1,He_4CR_C11-S
A1I5R22C13-S,spleen,,13600000,He_4CR_I5,He_4CR_R22,He_4CR_A1,He_4CR_C13-S
A1I5R22C15-S,spleen,,33300000,He_4CR_I5,He_4CR_R22,He_4CR_A1,He_4CR_C15-S
A1I5R22C17-S,spleen,,5280000,He_4CR_I5,He_4CR_R22,He_4CR_A1,He_4CR_C17-S
A1I5R22C19-S,spleen,,16800000,He_4CR_I5,He_4CR_R22,He_4CR_A1,He_4CR_C19-S
A4I18-1R2C18-1,liver,estimated from fig 3,500000000,He_4CR_I18-1,He_4CR_R2,He_4CR_A4,He_4CR_C18-1
A4I18-1R18-1C22,liver,estimated from fig 3,165000000,He_4CR_I18-1,He_4CR_R18-1,He_4CR_A4,He_4CR_C22
A4I34R18C18-2,liver,estimated from fig 3,10100000,He_4CR_I34,He_4CR_R18,He_4CR_A4,He_4CR_C18-2
A4I34R18-1C18-1,liver,estimated from fig 3,10100000,He_4CR_I34,He_4CR_R18-1,He_4CR_A4,He_4CR_C18-1
A4I18-1R2C18,liver,estimated from S7,300000000,He_4CR_I18-1,He_4CR_R2,He_4CR_A4,He_4CR_C18
A4I18R2C18-3,liver,estimated from S7,500000000,He_4CR_I18,He_4CR_R2,He_4CR_A4,He_4CR_C18-3
A4I18-1R2C18-2,liver,estimated from S7,300000000,He_4CR_I18-1,He_4CR_R2,He_4CR_A4,He_4CR_C18-2
A4I18-1R18C22,liver,estimated from S7,150000000,He_4CR_I18-1,He_4CR_R18,He_4CR_A4,He_4CR_C22
A4I18R18-1C22,liver,estimated from S7,150000000,He_4CR_I18,He_4CR_R18-1,He_4CR_A4,He_4CR_C22
A4I34R18-1C18-2,liver,estimated from S7,30000000,He_4CR_I34,He_4CR_R18-1,He_4CR_A4,He_4CR_C18-2
A4I34R18C18-1,liver,estimated from S7,3000000,He_4CR_I34,He_4CR_R18,He_4CR_A4,He_4CR_C18-1
A4I34R18-1C18,liver,estimated from S7,3000000,He_4CR_I34,He_4CR_R18-1,He_4CR_A4,He_4CR_C18
A1I5R22C21,spleen,estimated from Fig S12,19000000,He_4CR_I5,He_4CR_R22,He_4CR_A1,He_4CR_C21
A1I12R22C51,spleen,estimated from Fig S12,20000000,He_4CR_I12,He_4CR_R22,He_4CR_A1,He_4CR_C51
A1I12R47C21,spleen,estimated from Fig S12,2000000,He_4CR_I12,He_4CR_R47,He_4CR_A1,He_4CR_C21
A1I18R1C18,spleen,estimated from Fig 2C,10000,He_4CR_I18,He_4CR_R1,He_4CR_A1,He_4CR_C18
A1I18R1C18-1,spleen,estimated from Fig 2C,10000,He_4CR_I18,He_4CR_R1,He_4CR_A1,He_4CR_C18-1
A1I18R1C18-2,spleen,estimated from Fig 2C,1000000,He_4CR_I18,He_4CR_R1,He_4CR_A1,He_4CR_C18-2
A1I18R1C18-3,spleen,estimated from Fig 2C,10000,He_4CR_I18,He_4CR_R1,He_4CR_A1,He_4CR_C18-3
A1I18R1C23,spleen,estimated from Fig 2C,10000,He_4CR_I18,He_4CR_R1,He_4CR_A1,He_4CR_C23
A1I18R2C18,spleen,estimated from Fig 2C,10000,He_4CR_I18,He_4CR_R2,He_4CR_A1,He_4CR_C18
A1I18R2C18-1,spleen,estimated from Fig 2C,10000,He_4CR_I18,He_4CR_R2,He_4CR_A1,He_4CR_C18-1
A1I18R2C18-2,spleen,estimated from Fig 2C,10000,He_4CR_I18,He_4CR_R2,He_4CR_A1,He_4CR_C18-2
A1I18R2C18-3,spleen,estimated from Fig 2C,10000,He_4CR_I18,He_4CR_R2,He_4CR_A1,He_4CR_C18-3
A1I18R2C23,spleen,estimated from Fig 2C,10000,He_4CR_I18,He_4CR_R2,He_4CR_A1,He_4CR_C23
A1I18R3C18,spleen,estimated from Fig 2C,10000,He_4CR_I18,He_4CR_R3,He_4CR_A1,He_4CR_C18
A1I18R3C18-1,spleen,estimated from Fig 2C,10000,He_4CR_I18,He_4CR_R3,He_4CR_A1,He_4CR_C18-1
A1I18R3C18-2,spleen,estimated from Fig 2C,10000,He_4CR_I18,He_4CR_R3,He_4CR_A1,He_4CR_C18-2
A1I18R3C18-3,spleen,estimated from Fig 2C,10000,He_4CR_I18,He_4CR_R3,He_4CR_A1,He_4CR_C18-3
A1I18R3C23,spleen,estimated from Fig 2C,10000,He_4CR_I18,He_4CR_R3,He_4CR_A1,He_4CR_C23
A1I18R5C18,spleen,estimated from Fig 2C,10000,He_4CR_I18,He_4CR_R5,He_4CR_A1,He_4CR_C18
A1I18R5C18-1,spleen,estimated from Fig 2C,10000,He_4CR_I18,He_4CR_R5,He_4CR_A1,He_4CR_C18-1
A1I18R5C18-2,spleen,estimated from Fig 2C,10000,He_4CR_I18,He_4CR_R5,He_4CR_A1,He_4CR_C18-2
A1I18R5C18-3,spleen,estimated from Fig 2C,10000,He_4CR_I18,He_4CR_R5,He_4CR_A1,He_4CR_C18-3
A1I18R5C23,spleen,estimated from Fig 2C,10000,He_4CR_I18,He_4CR_R5,He_4CR_A1,He_4CR_C23
A4I18R1C18,spleen,estimated from Fig 2C,10000,He_4CR_I18,He_4CR_R1,He_4CR_A4,He_4CR_C18
A4I18R1C18-1,spleen,estimated from Fig 2C,10000,He_4CR_I18,He_4CR_R1,He_4CR_A4,He_4CR_C18-1
A4I18R1C18-2,spleen,estimated from Fig 2C,15000000,He_4CR_I18,He_4CR_R1,He_4CR_A4,He_4CR_C18-2
A4I18R1C18-3,spleen,estimated from Fig 2C,10000,He_4CR_I18,He_4CR_R1,He_4CR_A4,He_4CR_C18-3
A4I18R1C23,spleen,estimated from Fig 2C,100000,He_4CR_I18,He_4CR_R1,He_4CR_A4,He_4CR_C23
A4I18R2C18,spleen,estimated from Fig 2C,10000,He_4CR_I18,He_4CR_R2,He_4CR_A4,He_4CR_C18
A4I18R2C18-1,spleen,estimated from Fig 2C,20000000,He_4CR_I18,He_4CR_R2,He_4CR_A4,He_4CR_C18-1
A4I18R2C18-2,spleen,estimated from Fig 2C,5000000,He_4CR_I18,He_4CR_R2,He_4CR_A4,He_4CR_C18-2
A4I18R2C18-3,spleen,estimated from Fig 2C,10000000,He_4CR_I18,He_4CR_R2,He_4CR_A4,He_4CR_C18-3
A4I18R2C23,spleen,estimated from Fig 2C,10000000,He_4CR_I18,He_4CR_R2,He_4CR_A4,He_4CR_C23
A4I18R3C18,spleen,estimated from Fig 2C,10000,He_4CR_I18,He_4CR_R3,He_4CR_A4,He_4CR_C18
A4I18R3C18-1,spleen,estimated from Fig 2C,10000000,He_4CR_I18,He_4CR_R3,He_4CR_A4,He_4CR_C18-1
A4I18R3C18-2,spleen,estimated from Fig 2C,20000000,He_4CR_I18,He_4CR_R3,He_4CR_A4,He_4CR_C18-2
A4I18R3C18-3,spleen,estimated from Fig 2C,2000000,He_4CR_I18,He_4CR_R3,He_4CR_A4,He_4CR_C18-3
A4I18R3C23,spleen,estimated from Fig 2C,10000000,He_4CR_I18,He_4CR_R3,He_4CR_A4,He_4CR_C23
A4I18R5C18,spleen,estimated from Fig 2C,10000,He_4CR_I18,He_4CR_R5,He_4CR_A4,He_4CR_C18
A4I18R5C18-1,spleen,estimated from Fig 2C,10000,He_4CR_I18,He_4CR_R5,He_4CR_A4,He_4CR_C18-1
A4I18R5C18-2,spleen,estimated from Fig 2C,10000,He_4CR_I18,He_4CR_R5,He_4CR_A4,He_4CR_C18-2
A4I18R5C18-3,spleen,estimated from Fig 2C,10000,He_4CR_I18,He_4CR_R5,He_4CR_A4,He_4CR_C18-3
A4I18R5C23,spleen,estimated from Fig 2C,100000,He_4CR_I18,He_4CR_R5,He_4CR_A4,He_4CR_C23
A23I18R1C18,spleen,estimated from Fig 2C,10000,He_4CR_I18,He_4CR_R1,He_4CR_A23,He_4CR_C18
A23I18R1C18-1,spleen,estimated from Fig 2C,10000,He_4CR_I18,He_4CR_R1,He_4CR_A23,He_4CR_C18-1
A23I18R1C18-2,spleen,estimated from Fig 2C,100000,He_4CR_I18,He_4CR_R1,He_4CR_A23,He_4CR_C18-2
A23I18R1C18-3,spleen,estimated from Fig 2C,10000,He_4CR_I18,He_4CR_R1,He_4CR_A23,He_4CR_C18-3
A23I18R1C23,spleen,estimated from Fig 2C,10000,He_4CR_I18,He_4CR_R1,He_4CR_A23,He_4CR_C23
A23I18R2C18,spleen,estimated from Fig 2C,10000,He_4CR_I18,He_4CR_R2,He_4CR_A23,He_4CR_C18
A23I18R2C18-1,spleen,estimated from Fig 2C,4000000,He_4CR_I18,He_4CR_R2,He_4CR_A23,He_4CR_C18-1
A23I18R2C18-2,spleen,estimated from Fig 2C,1000000,He_4CR_I18,He_4CR_R2,He_4CR_A23,He_4CR_C18-2
A23I18R2C18-3,spleen,estimated from Fig 2C,1000000,He_4CR_I18,He_4CR_R2,He_4CR_A23,He_4CR_C18-3
A23I18R2C23,spleen,estimated from Fig 2C,15000000,He_4CR_I18,He_4CR_R2,He_4CR_A23,He_4CR_C23
A23I18R3C18,spleen,estimated from Fig 2C,10000,He_4CR_I18,He_4CR_R3,He_4CR_A23,He_4CR_C18
A23I18R3C18-1,spleen,estimated from Fig 2C,3000000,He_4CR_I18,He_4CR_R3,He_4CR_A23,He_4CR_C18-1
A23I18R3C18-2,spleen,estimated from Fig 2C,5000000,He_4CR_I18,He_4CR_R3,He_4CR_A23,He_4CR_C18-2
A23I18R3C18-3,spleen,estimated from Fig 2C,100000,He_4CR_I18,He_4CR_R3,He_4CR_A23,He_4CR_C18-3
A23I18R3C23,spleen,estimated from Fig 2C,1000000,He_4CR_I18,He_4CR_R3,He_4CR_A23,He_4CR_C23
A23I18R5C18,spleen,estimated from Fig 2C,10000,He_4CR_I18,He_4CR_R5,He_4CR_A23,He_4CR_C18
A23I18R5C18-1,spleen,estimated from Fig 2C,10000,He_4CR_I18,He_4CR_R5,He_4CR_A23,He_4CR_C18-1
A23I18R5C18-2,spleen,estimated from Fig 2C,10000,He_4CR_I18,He_4CR_R5,He_4CR_A23,He_4CR_C18-2
A23I18R5C18-3,spleen,estimated from Fig 2C,10000,He_4CR_I18,He_4CR_R5,He_4CR_A23,He_4CR_C18-3
A23I18R5C23,spleen,estimated from Fig 2C,10000,He_4CR_I18,He_4CR_R5,He_4CR_A23,He_4CR_C23
A4I18R4C18-2,spleen,estimated from figS2C,10000,He_4CR_I18,He_4CR_R4,He_4CR_A4,He_4CR_C18-2
A4I18R7C18-2,spleen,estimated from figS2C,10000,He_4CR_I18,He_4CR_R7,He_4CR_A4,He_4CR_C18-2
A4I18R9C18-2,spleen,estimated from figS2C,10000,He_4CR_I18,He_4CR_R9,He_4CR_A4,He_4CR_C18-2
A4I18R10C18-2,spleen,estimated from figS2C,10000,He_4CR_I18,He_4CR_R10,He_4CR_A4,He_4CR_C18-2
A4I18R11C18-2,spleen,estimated from figS2C,10000,He_4CR_I18,He_4CR_R11,He_4CR_A4,He_4CR_C18-2
A0I18R2C18-2,spleen,estimated from figS2C,10000,He_4CR_I18,He_4CR_R2,He_4CR_A0,He_4CR_C18-2
A2I18R2C18-2 ,spleen,estimated from figS2C,5000000,He_4CR_I18,He_4CR_R2,He_4CR_A2,He_4CR_C18-2
A3I18R2C18-2 ,spleen,estimated from figS2C,50000000,He_4CR_I18,He_4CR_R2,He_4CR_A3,He_4CR_C18-2
A5I18R2C18-2 ,spleen,estimated from figS2C,10000,He_4CR_I18,He_4CR_R2,He_4CR_A5,He_4CR_C18-2
A24I18R2C18-2 ,spleen,estimated from figS2C,10000,He_4CR_I18,He_4CR_R2,He_4CR_A24,He_4CR_C18-2
A4I18R2C10-6 ,spleen,estimated from figS2C,10000,He_4CR_I18,He_4CR_R2,He_4CR_A4,He_4CR_C10-6
