Amine,Tail,Lipid_name,Num tails,MolWt
Lee_unsat_dendrimer_2A2,Lee_unsat_dendrimer_SC8/2,Lee_unsat_dendrimer_2A2-SC8/2,2,810.177
Lee_unsat_dendrimer_2A9,Lee_unsat_dendrimer_SC8/2,Lee_unsat_dendrimer_2A9-SC8/2,2,741.07
Lee_unsat_dendrimer_2A9V,Lee_unsat_dendrimer_SC8/2,Lee_unsat_dendrimer_2A9V-SC8/2,2,755.097
Lee_unsat_dendrimer_3A4,Lee_unsat_dendrimer_SC8/2,Lee_unsat_dendrimer_3A4-SC8/2,3,1097.554
Lee_unsat_dendrimer_4A1,Lee_unsat_dendrimer_SC8/2,Lee_unsat_dendrimer_4A1-SC8/2,4,1506.162
Lee_unsat_dendrimer_4A3,Lee_unsat_dendrimer_SC8/2,Lee_unsat_dendrimer_4A3-SC8/2,4,1451.082
Lee_unsat_dendrimer_6A3,Lee_unsat_dendrimer_SC8/2,Lee_unsat_dendrimer_6A3-SC8/2,6,2104.986
Lee_unsat_dendrimer_2A2,Lee_unsat_dendrimer_Far-SH,Lee_unsat_dendrimer_2A2-Far-SH,2,1002.523
Lee_unsat_dendrimer_2A9,Lee_unsat_dendrimer_Far-SH,Lee_unsat_dendrimer_2A9-Far-SH,2,933.416
Lee_unsat_dendrimer_2A9V,Lee_unsat_dendrimer_Far-SH,Lee_unsat_dendrimer_2A9V-Far-SH,2,947.443
Lee_unsat_dendrimer_3A4,Lee_unsat_dendrimer_Far-SH,Lee_unsat_dendrimer_3A4-Far-SH,3,1386.073
Lee_unsat_dendrimer_4A1,Lee_unsat_dendrimer_Far-SH,Lee_unsat_dendrimer_4A1-Far-SH,4,1890.854
Lee_unsat_dendrimer_4A3,Lee_unsat_dendrimer_Far-SH,Lee_unsat_dendrimer_4A3-Far-SH,4,1835.774
Lee_unsat_dendrimer_6A3,Lee_unsat_dendrimer_Far-SH,Lee_unsat_dendrimer_6A3-Far-SH,6,2682.024
Lee_unsat_dendrimer_2A2,Lee_unsat_dendrimer_SC6,Lee_unsat_dendrimer_2A2-SC6,2,818.241
Lee_unsat_dendrimer_2A9,Lee_unsat_dendrimer_SC6,Lee_unsat_dendrimer_2A9-SC6,2,749.134
Lee_unsat_dendrimer_2A9V,Lee_unsat_dendrimer_SC6,Lee_unsat_dendrimer_2A9V-SC6,2,763.161
Lee_unsat_dendrimer_3A4,Lee_unsat_dendrimer_SC6,Lee_unsat_dendrimer_3A4-SC6,3,1109.65
Lee_unsat_dendrimer_4A1,Lee_unsat_dendrimer_SC6,Lee_unsat_dendrimer_4A1-SC6,4,1522.29
Lee_unsat_dendrimer_4A3,Lee_unsat_dendrimer_SC6,Lee_unsat_dendrimer_4A3-SC6,4,1467.21
Lee_unsat_dendrimer_6A3,Lee_unsat_dendrimer_SC6,Lee_unsat_dendrimer_6A3-SC6,6,2129.178
Lee_unsat_dendrimer_2A2,Lee_unsat_dendrimer_2T,Lee_unsat_dendrimer_2A2-2T,2,758.101
Lee_unsat_dendrimer_2A9,Lee_unsat_dendrimer_2T,Lee_unsat_dendrimer_2A9-2T,2,688.994
Lee_unsat_dendrimer_2A9V,Lee_unsat_dendrimer_2T,Lee_unsat_dendrimer_2A9V-2T,2,703.021
Lee_unsat_dendrimer_3A4,Lee_unsat_dendrimer_2T,Lee_unsat_dendrimer_3A4-2T,3,1019.44
Lee_unsat_dendrimer_4A1,Lee_unsat_dendrimer_2T,Lee_unsat_dendrimer_4A1-2T,4,1402.01
Lee_unsat_dendrimer_4A3,Lee_unsat_dendrimer_2T,Lee_unsat_dendrimer_4A3-2T,4,1346.93
Lee_unsat_dendrimer_6A3,Lee_unsat_dendrimer_2T,Lee_unsat_dendrimer_6A3-2T,6,1948.758
Lee_unsat_dendrimer_2A2,Lee_unsat_dendrimer_2C,Lee_unsat_dendrimer_2A2-2C,2,758.101
Lee_unsat_dendrimer_2A9,Lee_unsat_dendrimer_2C,Lee_unsat_dendrimer_2A9-2C,2,688.994
Lee_unsat_dendrimer_2A9V,Lee_unsat_dendrimer_2C,Lee_unsat_dendrimer_2A9V-2C,2,703.021
Lee_unsat_dendrimer_3A4,Lee_unsat_dendrimer_2C,Lee_unsat_dendrimer_3A4-2C,3,1019.44
Lee_unsat_dendrimer_4A1,Lee_unsat_dendrimer_2C,Lee_unsat_dendrimer_4A1-2C,4,1402.01
Lee_unsat_dendrimer_4A3,Lee_unsat_dendrimer_2C,Lee_unsat_dendrimer_4A3-2C,4,1346.93
Lee_unsat_dendrimer_6A3,Lee_unsat_dendrimer_2C,Lee_unsat_dendrimer_6A3-2C,6,1948.758
Lee_unsat_dendrimer_2A2,Lee_unsat_dendrimer_5N,Lee_unsat_dendrimer_2A2-5N,2,758.101
Lee_unsat_dendrimer_2A9,Lee_unsat_dendrimer_5N,Lee_unsat_dendrimer_2A9-5N,2,688.994
Lee_unsat_dendrimer_2A9V,Lee_unsat_dendrimer_5N,Lee_unsat_dendrimer_2A9V-5N,2,703.021
Lee_unsat_dendrimer_3A4,Lee_unsat_dendrimer_5N,Lee_unsat_dendrimer_3A4-5N,3,1019.44
Lee_unsat_dendrimer_4A1,Lee_unsat_dendrimer_5N,Lee_unsat_dendrimer_4A1-5N,4,1402.01
Lee_unsat_dendrimer_4A3,Lee_unsat_dendrimer_5N,Lee_unsat_dendrimer_4A3-5N,4,1346.93
Lee_unsat_dendrimer_6A3,Lee_unsat_dendrimer_5N,Lee_unsat_dendrimer_6A3-5N,6,1948.758
Lee_unsat_dendrimer_2A2,Lee_unsat_dendrimer_Cit-SH,Lee_unsat_dendrimer_2A2-Cit-SH,2,870.317
Lee_unsat_dendrimer_2A9,Lee_unsat_dendrimer_Cit-SH,Lee_unsat_dendrimer_2A9-Cit-SH,2,801.21
Lee_unsat_dendrimer_2A9V,Lee_unsat_dendrimer_Cit-SH,Lee_unsat_dendrimer_2A9V-Cit-SH,2,815.237
Lee_unsat_dendrimer_3A4,Lee_unsat_dendrimer_Cit-SH,Lee_unsat_dendrimer_3A4-Cit-SH,3,1187.764
Lee_unsat_dendrimer_4A1,Lee_unsat_dendrimer_Cit-SH,Lee_unsat_dendrimer_4A1-Cit-SH,4,1626.442
Lee_unsat_dendrimer_4A3,Lee_unsat_dendrimer_Cit-SH,Lee_unsat_dendrimer_4A3-Cit-SH,4,1571.362
Lee_unsat_dendrimer_6A3,Lee_unsat_dendrimer_Cit-SH,Lee_unsat_dendrimer_6A3-Cit-SH,6,2285.406
