Amine,Tail,Lipid_name,Linker,MolWt
Li_Thiolyne_7,Li_Thiolyne_C11,Li_Thiolyne_A7C11,Li_Thiolyne_A,614.107
Li_Thiolyne_7,Li_Thiolyne_C12,Li_Thiolyne_A7C12,Li_Thiolyne_A,642.161
Li_Thiolyne_7,Li_Thiolyne_C16,Li_Thiolyne_A7C16,Li_Thiolyne_A,754.377
Li_Thiolyne_7,Li_Thiolyne_C6,Li_Thiolyne_A7C6,Li_Thiolyne_A,473.837
Li_Thiolyne_7,Li_Thiolyne_C7,Li_Thiolyne_A7C7,Li_Thiolyne_A,501.891
Li_Thiolyne_7,Li_Thiolyne_C8,Li_Thiolyne_A7C8,Li_Thiolyne_A,529.945
Li_Thiolyne_7,Li_Thiolyne_C9,Li_Thiolyne_A7C9,Li_Thiolyne_A,557.999
Li_Thiolyne_1,Li_Thiolyne_C10,Li_Thiolyne_B1C10,Li_Thiolyne_B,530.973
Li_Thiolyne_1,Li_Thiolyne_C11,Li_Thiolyne_B1C11,Li_Thiolyne_B,559.027
Li_Thiolyne_1,Li_Thiolyne_C12,Li_Thiolyne_B1C12,Li_Thiolyne_B,587.081
Li_Thiolyne_1,Li_Thiolyne_C16,Li_Thiolyne_B1C16,Li_Thiolyne_B,699.297
Li_Thiolyne_1,Li_Thiolyne_C6,Li_Thiolyne_B1C6,Li_Thiolyne_B,418.757
Li_Thiolyne_1,Li_Thiolyne_C7,Li_Thiolyne_B1C7,Li_Thiolyne_B,446.811
Li_Thiolyne_1,Li_Thiolyne_C8,Li_Thiolyne_B1C8,Li_Thiolyne_B,474.865
Li_Thiolyne_1,Li_Thiolyne_C9,Li_Thiolyne_B1C9,Li_Thiolyne_B,502.919
Li_Thiolyne_2,Li_Thiolyne_C10,Li_Thiolyne_B2C10,Li_Thiolyne_B,573.01
Li_Thiolyne_2,Li_Thiolyne_C11,Li_Thiolyne_B2C11,Li_Thiolyne_B,601.064
Li_Thiolyne_2,Li_Thiolyne_C12,Li_Thiolyne_B2C12,Li_Thiolyne_B,629.118
Li_Thiolyne_2,Li_Thiolyne_C16,Li_Thiolyne_B2C16,Li_Thiolyne_B,741.334
Li_Thiolyne_2,Li_Thiolyne_C6,Li_Thiolyne_B2C6,Li_Thiolyne_B,460.794
Li_Thiolyne_2,Li_Thiolyne_C7,Li_Thiolyne_B2C7,Li_Thiolyne_B,488.848
Li_Thiolyne_2,Li_Thiolyne_C8,Li_Thiolyne_B2C8,Li_Thiolyne_B,516.902
Li_Thiolyne_2,Li_Thiolyne_C9,Li_Thiolyne_B2C9,Li_Thiolyne_B,544.956
Li_Thiolyne_3,Li_Thiolyne_C10,Li_Thiolyne_B3C10,Li_Thiolyne_B,557.011
Li_Thiolyne_3,Li_Thiolyne_C11,Li_Thiolyne_B3C11,Li_Thiolyne_B,585.065
Li_Thiolyne_3,Li_Thiolyne_C12,Li_Thiolyne_B3C12,Li_Thiolyne_B,613.119
Li_Thiolyne_3,Li_Thiolyne_C16,Li_Thiolyne_B3C16,Li_Thiolyne_B,725.335
Li_Thiolyne_3,Li_Thiolyne_C6,Li_Thiolyne_B3C6,Li_Thiolyne_B,444.795
Li_Thiolyne_3,Li_Thiolyne_C7,Li_Thiolyne_B3C7,Li_Thiolyne_B,472.849
Li_Thiolyne_3,Li_Thiolyne_C8,Li_Thiolyne_B3C8,Li_Thiolyne_B,500.903
Li_Thiolyne_3,Li_Thiolyne_C9,Li_Thiolyne_B3C9,Li_Thiolyne_B,528.957
Li_Thiolyne_4,Li_Thiolyne_C10,Li_Thiolyne_B4C10,Li_Thiolyne_B,559.027
Li_Thiolyne_4,Li_Thiolyne_C11,Li_Thiolyne_B4C11,Li_Thiolyne_B,587.081
Li_Thiolyne_4,Li_Thiolyne_C12,Li_Thiolyne_B4C12,Li_Thiolyne_B,615.135
Li_Thiolyne_4,Li_Thiolyne_C16,Li_Thiolyne_B4C16,Li_Thiolyne_B,727.351
Li_Thiolyne_4,Li_Thiolyne_C6,Li_Thiolyne_B4C6,Li_Thiolyne_B,446.811
Li_Thiolyne_4,Li_Thiolyne_C7,Li_Thiolyne_B4C7,Li_Thiolyne_B,474.865
Li_Thiolyne_4,Li_Thiolyne_C8,Li_Thiolyne_B4C8,Li_Thiolyne_B,502.919
Li_Thiolyne_4,Li_Thiolyne_C9,Li_Thiolyne_B4C9,Li_Thiolyne_B,530.973
Li_Thiolyne_5,Li_Thiolyne_C10,Li_Thiolyne_B5C10,Li_Thiolyne_B,573.054
