Amine,Tail,Lipid_name,Library_ID
RM_branched_ester_M80,RM_branched_ester_R14,RM_branched_ester_M80_R14,RM_Michael_addition_branched
RM_branched_ester_M81,RM_branched_ester_R6,RM_branched_ester_M81_R6,RM_Michael_addition_branched
IR_red_amin_IRh20,IR_red_amin_IRt2,IR_red_amin_IRh20_IRt2,IR_Reductive_amination
IR_red_amin_IRh20,IR_red_amin_IRt3,IR_red_amin_IRh20_IRt3,IR_Reductive_amination
IR_red_amin_IRh20,IR_red_amin_IRt4,IR_red_amin_IRh20_IRt4,IR_Reductive_amination
IR_red_amin_IRh20,IR_red_amin_IRt5,IR_red_amin_IRh20_IRt5,IR_Reductive_amination
IR_red_amin_IRh20,IR_red_amin_IRt6,IR_red_amin_IRh20_IRt6,IR_Reductive_amination
IR_red_amin_IRh20,IR_red_amin_IRt7,IR_red_amin_IRh20_IRt7,IR_Reductive_amination
IR_red_amin_IRh20,IR_red_amin_IRt9,IR_red_amin_IRh20_IRt9,IR_Reductive_amination
IR_red_amin_IRh20,IR_red_amin_IRt10,IR_red_amin_IRh20_IRt10,IR_Reductive_amination
IR_red_amin_IRh20,IR_red_amin_IRt12,IR_red_amin_IRh20_IRt12,IR_Reductive_amination
IR_red_amin_IRh10,IR_red_amin_IRt2,IR_red_amin_IRh10_IRt2,IR_Reductive_amination
IR_red_amin_IRh10,IR_red_amin_IRt3,IR_red_amin_IRh10_IRt3,IR_Reductive_amination
IR_red_amin_IRh10,IR_red_amin_IRt4,IR_red_amin_IRh10_IRt4,IR_Reductive_amination
IR_red_amin_IRh10,IR_red_amin_IRt5,IR_red_amin_IRh10_IRt5,IR_Reductive_amination
IR_red_amin_IRh10,IR_red_amin_IRt6,IR_red_amin_IRh10_IRt6,IR_Reductive_amination
IR_red_amin_IRh10,IR_red_amin_IRt7,IR_red_amin_IRh10_IRt7,IR_Reductive_amination
IR_red_amin_IRh10,IR_red_amin_IRt8,IR_red_amin_IRh10_IRt8,IR_Reductive_amination
IR_red_amin_IRh10,IR_red_amin_IRt9,IR_red_amin_IRh10_IRt9,IR_Reductive_amination
IR_red_amin_IRh10,IR_red_amin_IRt10,IR_red_amin_IRh10_IRt10,IR_Reductive_amination
IR_red_amin_IRh10,IR_red_amin_IRt11,IR_red_amin_IRh10_IRt11,IR_Reductive_amination
IR_red_amin_IRh10,IR_red_amin_IRt11,IR_red_amin_IRh10_IRt11,IR_Reductive_amination
IR_red_amin_IRh10,IR_red_amin_IRt1,IR_red_amin_IRh10_IRt1,IR_Reductive_amination
